id,type,ppl,content,date,time,link
1,live,,Happy Birthday to ME😉,2023-08-09,23:40:00,https://weverse.io/boynextdoor/live/3-127927998?hl=ko
2,to,운학,"Ayo!! T.S happy birthday to you!! 🥳
생일 축하해 형!!! 
내가 오글거려서 말로는 못해도 이렇게 남겨볼게...
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
사랑해 ❤️ 
Love you bro!! 😁",2023-08-10,2:00:00,https://weverse.io/boynextdoor/artist/1-123666141?hl=ko
3,ts,,"여러분 안녕하세요 태산입니다! 오늘은 제 생일이자
저희가 시상식에서 신인상을 받은 정말 뜻깊고 
감사한 날이에요. 항상 저희를 응원해 주시고, 
사랑해 주셔서 감사해요
그리고 오늘 여러분 덕분에 제 생일을 이토록 행복하게 
만들어 준 생애 첫 신인상을  받을 수 있어서 
이것 또한 정말 감사하게 생각하고 있어요
연습생 시절 제게 생일의 의미는 그다지 크지 않았어요
하지만 오늘 처음으로 팬분들과 함께 보낸 생일이 
이렇게 행복할 수 있다는 사실에 아직도 너무 기뻐요
데뷔한 지 100일도 안 된 시점에 
제게 이렇게 과분한 사랑을 주셔서 감사해요
글로나 말로는 표현도 못 할 만큼 정말 
너무너무 너무 사랑해요
그리고 연습생 때 찍었던 미공개 사진들을 많이 
궁금해하시는 거 같아서 초등학생 때부터 지금까지 
찍은 사진들을 조금 가져왔어요 ㅎㅎ
초등학생 전교 회장 시절에 축제 사회를 보는 사진도 있고, 혼자 귀엽게 셀카를 도전해 본 사진도 있네요 ㅎㅎ 그리고 
연습생 때 찍은 사진들도 🖤🖤
마지막으로 이 글을 읽고 있을 저희 부모님께도 
너무 감사하다는 말씀드리고 싶어요 💖💖
팬분들께 감사한 만큼 저희 부모님께도 너무 감사해요. 
저도 그에 맞는 사랑으로 보답할 수 있는 여러분의 가수이자 자랑스러운 아들이 될게요 모두 사랑해요😍
제 생일을 진심으로 축하해 주셔서 감사합니다🙇‍♂️",2023-08-10,11:57:00,https://weverse.io/boynextdoor/artist/0-123707348?hl=ko
4,from,성호,따르릉 따르릉 비켜나세요~ 컴백하러 왔습니다 👏 우리 다 같이 이번 활동도 힘내봅시다 😘 성호형 1년에 하루뿐인 생일 축하해요 🎉 🎉 BOYNEXTDOOR 화이팅 👊 👊 👊,2023-09-03,22:24:00,https://weverse.io/boynextdoor/artist/0-125454344?hl=ko
5,from,성호,"BOYNEXTDOOR 이번 활동도 화이팅 하고 
멤버들 모두 사랑해요
BOYNEXTDOOR 2night 기획해 주신
M2 선생님들도 감사합니다 🥲 🥲 🥲
성호형 생일 축하해요 🖤 
마지막으로 우리 팬분들 제일 사랑해요 😏",2023-09-04,22:37:00,https://weverse.io/boynextdoor/artist/4-131735306?hl=ko
6,from,이한,"김동현 생일 축하해 🤍
 H        H             A           PPPP   PPPP  Y        Y
 H        H          A   A         P     P  P     P     YYY
 HHHHH       AAAAA       PPPP  PPPP        Y
 H        H     A             A    P         P               Y
 H        H                           P         P               Y
Birth day Lee Han 🎉",2023-10-20,0:12:00,https://weverse.io/boynextdoor/artist/1-128342864?hl=ko
7,from,리우,"🎉 🎉 🎉 🎉 🎉 🎉 🎉 🎉 🎉 🎉 🎉 
상혁이형 생일 축하해요 💖 💖 💖 💖 💖",2023-10-22,0:26:00,https://weverse.io/boynextdoor/artist/4-137548150?hl=ko
8,from,재현,부모님도 바빠서 못 오셨던 졸업식에 시간 된다고 혼자라도 꽃 들고 와서 축하해 줬던 거 너무 고마웠어요 생일 축하해요 💖,2023-12-04,0:59:00,https://weverse.io/boynextdoor/artist/1-130596480?hl=ko
9,from,재현,와 작업하다가 잠들어 버렸어요 미안해요 형 사랑해요,2023-12-04,20:56:00,https://weverse.io/boynextdoor/artist/3-141863780?hl=ko
10,from,재현,"제가 진짜 한 장만 올릴 거라고 생각했어요?
이건 원도어 선물!
+재현이 형 삐진 건 풀어줬어요 ㅎㅎ
마지막으로 재현이 형 생일 축하해요",2023-12-04,23:39:00,https://weverse.io/boynextdoor/artist/2-130668362?hl=ko
